,subj,block,trial,error,F0_error,carrier_word,target_word,target_start,target_end,target_dur,target_sylons,target_sylonsvoice,target_sylonsclass,target_vowel,target_tone,target_sylonsdur,target_voweldur,specTilt_1,specTilt_2,specTilt_3,specTilt_4,jitter_1,jitter_2,jitter_3,jitter_4,shimmer_1,shimmer_2,shimmer_3,shimmer_4,hnr_1,hnr_2,hnr_3,hnr_4,amp_1,amp_2,amp_3,amp_4,f1_1,f1_2,f1_3,f1_4,f2_1,f2_2,f2_3,f2_4,f3_1,f3_2,f3_3,f3_4,f0_1,f0_2,f0_3,f0_4
1,MM02,1,1,FALSE,FALSE,say,lO,1.861558951,2.361476286,0.499917335,l,,sonorant,O,M,0.182870098,0.317047237,2.983938585,-1.595294993,6.764472002,17.99073047,0.01348,0.03211,0.01029,0.02355,0.08773,0.05265,0.18826,0.18354,9.253599989,13.91120075,12.85283726,8.331733186,66.59560162,67.82042529,60.98541261,54.29666643,634.7756494,593.3028048,740.5560129,1048.579653,1440.349746,1401.941159,1694.444052,2541.927117,2798.334901,2917.246374,3212.958616,3112.622284,124.6785683,122.2557054,125.3170559,134.3112033
2,MM02,1,2,FALSE,FALSE,say,no,2.606577205,3.10719707,0.500619865,n,,sonorant,o,M,0.183328202,0.317291663,4.642097669,2.755759855,3.369703752,8.17211193,0.01371,0.01202,0.00897,0.01447,0.06994,0.11356,0.11707,0.04968,13.96666173,13.29591917,15.73857462,13.05227711,75.39374229,72.86275478,65.72644399,55.92729433,628.4436623,490.9503429,424.1068216,539.8301788,1717.895478,986.7563315,1632.034133,1395.491003,3209.599489,2848.443227,3009.89123,2994.441402,136.2398695,129.720245,125.3600343,126.7047695
3,MM02,1,3,FALSE,FALSE,say,ta,2.526483952,2.759275018,0.232791066,t,,obstruent,a,L,0.010780228,0.222010838,NA,-5.654715181,-3.654878395,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.065620987,-2.007964441,NA,NA,68.62218844,61.77826622,52.80165193,50.29872633,848.2591746,850.7654247,999.2081521,993.3480247,1664.383575,1638.698293,1754.473783,2044.383664,2634.510538,2717.004018,2813.745714,2678.976009,NA,86.94354609,86.13785461,NA
4,MM02,1,4,FALSE,FALSE,say,ni,1.959699054,2.281736051,0.322036997,n,,sonorant,i,L,0.145717966,0.176319031,8.411693713,2.39254137,-0.237376512,-4.731940761,NA,NA,NA,NA,NA,NA,NA,NA,8.912127711,8.540603103,8.12890536,6.475603561,64.13974772,63.49918126,59.36937466,53.26373184,366.8997493,358.4935809,356.8670316,378.3186112,2389.529788,2352.422021,2388.678206,2356.834798,3325.048822,3348.855738,3288.949392,2486.719173,107.2907996,104.8974782,95.80858635,87.06825424
5,MM02,1,5,FALSE,FALSE,say,lE,2.581945101,3.00878225,0.426837149,l,,sonorant,E,H,0.166579444,0.260257705,5.55502764,2.283461145,1.297957985,15.58712603,0.0052,0.00308,0.00882,0.01588,0.07668,0.0607,0.09439,0.18268,14.41067498,15.74642037,12.4229108,8.935737649,76.06320923,74.82783574,69.01356586,59.34581747,553.0139118,564.6900015,524.1468851,317.7487427,2008.594982,2016.514428,2016.798235,1960.12015,2589.981585,2425.975691,2447.329504,2510.26248,151.9157491,150.8788063,147.4268058,149.4705098
6,MM02,1,6,FALSE,FALSE,say,lE,1.798740086,2.22988941,0.431149324,l,,sonorant,E,M,0.161019788,0.270129536,2.855001721,4.523717812,3.909451844,8.627854588,0.00684,0.00967,0.00884,0.02842,0.06674,0.051,0.15687,0.2953,8.294382262,9.268272873,7.280022821,7.863093712,75.14866247,72.34159441,65.94355263,56.37940688,530.1819856,549.5352734,528.6819183,460.0417892,1940.938967,1949.499317,1865.781931,1841.344284,2586.009888,2506.240571,2475.174867,2501.942692,131.4428134,125.6665648,125.3394099,126.7329511
7,MM02,1,7,FALSE,FALSE,say,nE,2.046062177,2.573998535,0.527936358,n,,sonorant,E,M,0.19816106,0.329775298,3.578967649,3.088871128,-0.426231293,6.391856342,0.00776,0.00823,0.02738,0.01653,0.05783,0.06263,0.12351,0.15857,9.155631505,7.206514984,7.200891316,7.194271659,72.74288955,70.57340266,62.88439981,56.06874667,531.0973434,561.5568929,493.2388366,900.0371737,2038.280799,2039.131168,1944.462389,2120.103835,2441.383919,2396.843938,2581.714327,2952.508813,129.8062514,125.4969502,119.9436765,128.4017144
8,MM02,1,8,FALSE,FALSE,say,ti,1.93821306,2.333611061,0.395398002,t,,obstruent,i,H,0.113249295,0.282148706,6.73256141,8.435153066,10.50995981,11.9395481,0.01554,0.00363,0.00708,0.01639,0.09195,0.03503,0.1037,0.11792,14.03041045,22.37333537,21.18330462,15.90377646,71.94648326,73.3082007,68.32636848,58.06008686,232.8388421,245.8242453,219.9663259,219.5924855,2322.26738,2310.835576,2244.570699,2220.376623,3324.024504,3216.737129,3208.899205,2961.746026,157.430341,150.9204389,149.4620028,150.7498451
9,MM02,1,9,FALSE,FALSE,say,tO,3.892901472,4.094582926,0.201681453,t,,obstruent,O,L,0.025276224,0.17640523,1.607718784,-2.3036468,-8.195922413,-2.27589761,0.03904,NA,NA,NA,0.0853,NA,NA,NA,3.89412269,-3.069788852,-2.894969726,NA,74.67236625,65.73372464,59.41057207,53.39891149,403.1896947,384.5403031,434.8744533,426.1802475,614.1646265,995.8418568,2524.098312,2517.738398,2644.5919,2821.694588,3464.076119,3516.371836,128.6415567,103.4739527,91.39705528,90.40995818
10,MM02,1,10,FALSE,FALSE,say,to,19.27598886,19.60015749,0.324168637,t,,obstruent,o,M,19.27598886,0.310080401,1.427660414,-0.774462844,0.049147099,20.63669573,0.02973,0.00523,0.00676,0.01282,0.07536,0.06173,0.14784,0.11971,13.29452954,21.97385377,20.04085951,9.408658876,76.40470406,72.94766044,63.08212406,56.76864662,409.2869996,400.8550937,476.8377597,654.0828018,1114.714902,569.7350439,2031.152007,2518.762111,2668.085119,2615.138452,3153.060733,3418.730913,136.4231019,126.5539364,122.750417,131.1672232
11,MM02,1,11,FALSE,FALSE,say,ta,2.696028735,2.941718273,0.245689537,t,,obstruent,a,H,0.012517585,0.233171952,-0.06986776,2.324341153,2.581438582,10.23689359,0.00969,0.0029,0.00866,0.06851,0.09833,0.05865,0.06535,0.24809,7.139871323,11.78369554,9.249332896,6.555807555,73.26067893,69.9990333,65.30013703,59.44579802,702.3101469,777.7530033,694.1066077,1078.817173,1571.672993,1513.385996,1526.748127,1847.972567,3202.48635,2822.025588,2505.944126,3061.387106,154.6948,150.9562278,147.7189443,145.4534567
12,MM02,1,12,FALSE,FALSE,say,nu,3.434223917,3.835974706,0.401750788,n,,sonorant,u,M,0.120018777,0.281732011,7.863225599,3.406666049,4.717039001,15.1751172,0.00219,0.0047,0.00504,0.01385,0.02955,0.10751,0.07356,0.17748,25.18639669,26.50734894,28.28035999,20.19690009,74.87334533,71.77489363,63.8574222,57.19688071,545.6038336,292.1386355,219.031014,1554.322851,2086.43984,1823.799813,1869.529235,2071.265923,3447.046993,2668.992246,2273.898686,3596.69875,133.6750057,130.8732285,130.0401301,131.5964003
13,MM02,1,13,FALSE,FALSE,say,tE,2.810897018,3.056672849,0.245775831,t,,obstruent,E,H,0.0108459,0.234929931,-1.495726427,1.75058954,6.101801833,15.36265818,0.01957,0.00612,0.00719,0.01562,0.08145,0.09309,0.13499,0.17061,4.424056145,14.26958166,12.32345201,NA,77.85005029,75.51428975,69.31254804,57.18780203,592.3246549,567.4617636,544.4614957,480.4707937,2050.780954,2009.101342,1969.391679,1958.665032,2491.32842,2389.452763,2395.450346,2462.748036,160.1985478,150.0384132,151.1310566,156.983932
14,MM02,1,14,FALSE,FALSE,say,li,2.181852846,2.498383916,0.31653107,l,,sonorant,i,H,0.146339437,0.170191634,4.535158198,6.48707486,13.03497965,2.063061311,0.00288,0.00664,0.01386,0.02542,0.02268,0.054,0.05964,0.18248,20.26598368,20.11892383,15.24675357,10.6281625,74.47762368,73.33299243,70.05280071,58.3544267,256.0732396,220.011892,188.3881222,316.1911763,2452.540811,2414.450773,2336.368692,2315.054582,2687.502785,3071.034061,3201.273469,3329.155149,148.1821149,146.7815529,152.1664239,167.5284681
15,MM02,1,15,FALSE,FALSE,say,le,2.74984946,3.214030873,0.464181413,l,,sonorant,e,M,0.18541164,0.278769773,-1.860236361,-1.280380373,0.109653477,16.30025296,0.00403,0.00642,0.00744,0.0158,0.03714,0.10382,0.06135,0.16389,18.6952015,14.76393555,14.2060786,15.44038839,72.417395,69.45921037,63.67199444,58.13351192,362.6861641,359.6993459,312.3939495,1566.754941,2154.331188,2263.732926,2215.396419,2490.973666,2774.470767,2663.936851,2565.476607,3634.710151,131.0468715,128.2581663,131.1062107,134.5378061
