word,onset1,vowel1,tone1,onset2,vowel2,tone2,specTilt_1,specTilt_2,specTilt_3,specTilt_4,jitter_1,jitter_2,jitter_3,jitter_4,shimmer_1,shimmer_2,shimmer_3,shimmer_4,hnr_1,hnr_2,hnr_3,hnr_4,amp_1,amp_2,amp_3,amp_4,f1_1,f1_2,f1_3,f1_4,f0_1,f0_2,f0_3,f0_4,specTilt_1_v2,specTilt_2_v2,specTilt_3_v2,specTilt_4_v2,jitter_1_v2,jitter_2_v2,jitter_3_v2,jitter_4_v2,shimmer_1_v2,shimmer_2_v2,shimmer_3_v2,shimmer_4_v2,hnr_1_v2,hnr_2_v2,hnr_3_v2,hnr_4_v2,amp_1_v2,amp_2_v2,amp_3_v2,amp_4_v2,f1_1_v2,f1_2_v2,f1_3_v2,f1_4_v2,f0_1_v2,f0_2_v2,f0_3_v2,f0_4_v2
nani,n,a,L,n,i,L,-5.820951058,-6.428529454,-5.858208142,-7.732084023,NA,0.00489,0.00532,NA,NA,0.0021,0.01916,NA,-0.791472716,0.430582597,0.836941412,-0.730814958,62.07847441,63.7363483,64.0827289,61.08080997,703.8689702,706.5355353,696.4170912,658.1003553,117.8488479,116.2664494,115.8333379,113.2913216,-10.62569083,-13.16121469,-8.693975882,NA,0.17526,0.15203,0.17531,NA,0.17465,0.15513,0.07674,NA,3.571706797,3.688969838,2.025383122,-2.332241347,57.34883182,56.90710679,55.28346349,51.39371564,362.3546278,372.0829755,371.4965259,423.5965837,110.3456253,109.6955195,109.952952,NA
nina,n,i,H,n,a,M,-6.795698589,-7.030838661,-6.90360547,-7.517695517,0.03593,0.00645,0.00871,0.00263,0.10271,0.01159,0.00532,0.00188,11.46714254,14.10541867,14.66167636,16.03478092,62.16891518,63.39463685,63.57323044,63.32510922,372.4746088,384.6804936,395.9146472,399.8834769,150.6861685,153.1021646,154.4534934,153.8264561,-12.85279732,-8.984499422,-9.713172531,-9.189059107,0.03189,0.00302,0.0078,0.00199,0.07751,0.04518,0.00385,0.00693,5.111345761,12.4348637,10.70770418,15.47327736,64.09091901,63.91027389,64.76738628,64.73720287,643.6701263,698.5230333,695.8246215,660.1474099,132.8630803,128.8453698,130.5498816,133.6328949
nani,n,a,H,n,i,L,-6.808040282,-6.156311389,-6.297657894,-4.817364471,0.00674,0.00515,0.00308,0.00365,0.3019,0.02511,0.00437,0.18311,12.25239527,13.08423187,14.63985813,10.99053178,67.05575169,69.86334009,69.63712312,66.98219444,735.652924,765.1583042,713.6752474,661.8431267,156.3812918,160.2321119,163.2033069,165.6199343,-6.62274893,-12.42526881,-15.15686386,-10.23801738,0.0077,0.0281,0.01538,0.02936,NA,0.04694,NA,NA,8.13136002,7.582881135,8.747427143,8.532143165,62.10115006,64.24527838,63.0515043,60.22575178,342.063673,340.5409478,369.303306,378.4670539,151.1934677,140.4877333,130.6609979,123.238488
nuna,n,u,H,n,a,M,-5.87865845,-6.302148601,-7.818730133,-6.975219208,0.0049,0.00107,0.0027,0.00878,0.04174,0.04173,0.06553,0.03367,13.73523119,16.54766627,18.71861329,16.52440559,60.86537146,62.55693293,63.26916693,62.88396604,407.6197016,427.6158077,380.4516571,359.4025836,153.14162,154.506159,153.1826556,150.3783325,-12.30130897,-8.89100451,-8.991679913,-8.751422801,0.00946,0.00535,0.00509,0.00509,0.05438,0.08263,0.01174,0.04039,7.938248539,14.42760103,13.87036176,10.90165727,64.96006422,64.99655838,64.97079412,64.5107794,647.3551335,690.4812911,692.5068455,659.9058671,134.8447784,132.3576989,133.3556021,136.9409774
nana,n,a,M,n,a,H,-7.681331368,-6.260886636,-6.434603174,-6.615108084,0.00841,0.00755,0.00442,0.00207,0.05903,0.02907,0.01334,0.06346,8.663350389,10.76910572,15.92083166,15.58736145,66.38246318,66.26437427,66.34455873,64.3494252,752.4311411,760.5787026,718.4336061,674.1469375,138.6969931,137.5218006,138.9962753,140.7807097,-5.313745859,-4.170683995,-1.391504292,3.095504435,0.00584,0.00156,0.00728,0.02653,0.11805,0.04282,0.0986,0.16745,13.87102716,19.83957434,13.08783853,9.240101213,67.36958491,68.25089224,63.93182889,56.28905812,733.6780874,740.7327736,764.123969,761.9803256,157.899667,159.8875971,163.7262736,155.3846187
nuni,n,u,L,n,i,H,-10.86483949,-6.832254561,-8.320746613,-8.21495808,0.03508,0.00685,0.17278,0.22958,NA,0.07123,0.33891,0.49314,7.667642592,11.5493143,4.393942848,1.015215611,60.37131174,59.69734443,59.29899623,58.27047582,349.7841098,454.0597789,839.0851313,1073.7436,126.4429506,121.5960675,117.186154,113.5490381,-6.948538187,-10.94102048,-10.34954856,-4.814007904,0.01699,0.01476,0.02451,0.00502,0.07467,0.06867,0.06777,0.09136,7.992561751,8.190221862,7.428668102,10.24188058,60.687537,63.44258842,63.55718196,60.3204105,353.7971176,357.9744719,354.0377349,399.6054885,123.3459322,133.7950125,146.0808236,156.4936094
nuni,n,u,L,n,i,L,-9.493406628,-10.09431812,-7.186848859,-9.271889608,0.1261,0.12987,0.16602,0.21924,0.20635,NA,0.35074,0.31571,4.327342183,3.838063194,1.743250551,-0.420849746,60.89309115,59.26223515,57.16798205,56.15406337,785.5183827,715.8405425,847.3298147,806.2897918,116.2449199,111.7856318,108.3841356,104.7989771,-9.170494803,-9.724522961,-11.05119377,-8.141256203,0.19557,0.20835,0.24359,NA,0.25126,0.28857,0.38249,NA,3.419590811,2.903485529,1.167292861,-1.70662272,58.11492333,57.18458241,56.1539382,54.72808512,386.3441975,387.1854012,409.3927165,433.3306717,107.446998,107.1948502,104.624378,100.6541101
nunu,n,u,H,n,u,H,-4.342106164,-3.748340481,-4.092948832,-2.880857578,0.00653,0.00297,0.00252,0.00821,0.05811,0.03207,0.02345,0.03592,14.2776214,21.65447366,21.76861171,20.27343074,59.9620781,60.85028544,60.17757851,58.09324907,580.6318893,598.996998,632.2909255,508.8370334,158.3215865,160.678091,161.0848685,160.3972925,-3.176280197,-2.03272713,-2.401519702,-2.638849641,0.00594,0.00308,0.00308,0.00452,0.04718,0.03222,0.04923,0.05669,17.08328502,21.55957024,20.51495637,18.41288254,58.58898048,59.28578148,59.38006955,57.40250053,567.5896068,552.5152352,526.8600439,453.7221872,160.4644765,162.4188554,161.6926091,159.5167025
nunu,n,u,L,n,u,L,-9.796067968,-8.832235901,-10.34746181,-8.686951137,0.00978,0.00181,0.0048,0.00714,0.07657,0.04704,0.04771,0.05695,14.67053745,18.17298676,14.42913701,11.30711808,57.01320025,56.08359893,54.85923621,53.43119621,451.4794355,746.5358882,869.031072,989.5914429,137.4337865,133.810314,135.0373073,133.0044437,-9.98810715,-8.705399273,-8.168609654,-4.464717383,0.12747,0.15154,NA,NA,0.2756,0.28386,NA,NA,0.922366849,-0.41284391,-2.89336387,-2.893456279,59.34879772,58.71045187,56.25505459,52.22767361,963.2969209,865.1079843,714.857095,739.511102,118.1946217,112.4099369,104.8866716,102.1199253
nini,n,i,H,n,i,H,-4.900278096,-2.46692282,-2.479218348,-4.788342054,0.01102,0.00205,0.00338,0.01094,0.03935,0.01104,0.02704,0.03057,11.86827221,16.06892992,15.11943965,12.59723781,61.78045726,62.99885005,62.38186911,60.48067174,432.0670608,430.3775621,425.9324219,408.5559512,159.7366089,164.8800062,164.7800305,161.1211757,-2.747561854,-3.594902351,-3.609753937,-3.004821326,0.00769,0.00268,0.00235,0.00496,0.00504,0.00832,0.03853,0.08055,17.50397386,20.30494993,20.02015711,17.40517177,60.61816354,61.29345738,60.84042789,59.29023535,396.7251647,406.8322344,417.8370168,412.3545065,159.9818652,160.1416128,159.7592673,160.0903312
