subj,word,onset1,vowel1,tone1,onset2,vowel2,tone2,trial,block,specTilt_1,specTilt_2,specTilt_3,specTilt_4,jitter_1,jitter_2,jitter_3,jitter_4,shimmer_1,shimmer_2,shimmer_3,shimmer_4,hnr_1,hnr_2,hnr_3,hnr_4,amp_1,amp_2,amp_3,amp_4,f1_1,f1_2,f1_3,f1_4,f0_1,f0_2,f0_3,f0_4,specTilt_1_v2,specTilt_2_v2,specTilt_3_v2,specTilt_4_v2,jitter_1_v2,jitter_2_v2,jitter_3_v2,jitter_4_v2,shimmer_1_v2,shimmer_2_v2,shimmer_3_v2,shimmer_4_v2,hnr_1_v2,hnr_2_v2,hnr_3_v2,hnr_4_v2,amp_1_v2,amp_2_v2,amp_3_v2,amp_4_v2,f1_1_v2,f1_2_v2,f1_3_v2,f1_4_v2,f0_1_v2,f0_2_v2,f0_3_v2,f0_4_v2
mz2,nunu,n,u,H,n,u,M,1,1,5.226523047,5.360208733,3.30090213,5.050808939,0.00954,0.00174,0.00168,0.00607,0.05388,0.02295,0.02304,0.04379,14.99373136,20.33908177,23.06268683,17.8152211,63.30121422,64.15158091,64.13524536,63.90514637,492.4081441,620.5294852,617.2775903,540.9759978,144.0827109,147.8552953,149.5113452,149.2173758,8.410655819,9.734383416,9.725400336,NA,0.00451,0.01167,0.01081,NA,0.0615,0.0749,0.21273,NA,12.39022255,12.94904163,15.18492536,22.23656541,60.09956939,59.01719662,56.17672355,51.55347811,422.7276644,447.1011565,482.191432,477.975341,133.549496,130.8709488,128.1495394,NA
mz2,nana,n,a,M,n,a,L,2,1,4.995221765,6.116782927,6.593914866,7.342229942,0.00671,0.00642,0.00099,0.00477,0.0648,0.11712,0.08703,0.1029,9.191075536,10.12342368,12.16258903,9.889737603,63.17044117,63.98189033,63.05868736,61.17551752,681.2849103,714.2849747,722.4202375,688.4023987,126.5576256,124.6672412,123.4910255,123.8749926,-2.930196635,-5.19983146,-3.048013918,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.209410093,-2.601252705,-2.809341826,-0.849377284,56.58414195,55.34330292,54.27995292,50.97414568,720.9667178,721.7070087,749.577008,821.0489971,99.44566281,95.08687739,92.43156806,NA
mz2,nuni,n,u,H,n,i,M,3,1,4.531967133,3.08108893,3.589848228,3.573004855,0.00428,0.00278,0.00309,0.00943,0.10974,0.03866,0.03482,0.03876,15.17009275,19.46524879,22.13450437,20.51336685,66.17288829,66.05418845,64.51402428,64.00971267,542.398853,594.632496,482.6563667,493.4223807,154.769305,157.7478165,159.7772058,159.9901977,10.63973233,8.115109081,7.994164711,11.08183743,0.00137,0.00669,0.00321,0.00692,0.05605,0.03474,0.0801,0.16519,17.15949719,16.68523857,17.00164395,14.41255969,65.22272681,63.60551188,60.83589752,54.66787356,410.0665992,433.6470084,438.2512658,366.8390407,131.2875288,134.4976685,135.3877809,133.7011396
mz2,nuna,n,u,H,n,a,H,4,1,6.565912492,6.010761892,5.841566845,6.943946445,0.00416,0.00105,0.00073,0.00352,0.04688,0.04787,0.03271,0.04485,19.71708291,23.1974165,26.52733376,21.93796749,63.23314897,63.8334329,63.90279069,62.94920632,479.5297993,617.6860756,714.4811793,571.0448031,154.8892026,157.286967,157.1959615,156.4216326,5.965027825,7.145011329,8.430583932,18.07135035,0.00325,0.00382,0.00495,0.00358,0.05681,0.04924,0.05085,0.11596,14.87095617,15.46807995,12.0799147,10.77620288,66.84751847,64.81002191,59.43066767,54.47433355,750.3571608,773.6207232,754.6572107,839.7313136,160.8388404,159.585263,156.4743026,156.5252012
mz2,nuni,n,u,L,n,i,L,5,1,1.01524438,0.128267036,-4.258358286,-9.737278403,NA,NA,NA,NA,NA,NA,NA,NA,-15.66485022,-4.171302955,-0.788278798,-0.403830476,59.13618247,57.21325777,55.12679877,50.86318204,481.8798448,467.4527049,437.2802216,499.0044169,105.6835893,102.2694986,98.7604298,96.59118775,2.217225389,-0.667432363,-9.06217709,-7.224618268,NA,NA,0.10258,0.12171,NA,NA,NA,0.47076,3.130575898,3.33737184,-2.115270403,-0.733646333,51.34596735,53.31504132,52.41482828,50.03311185,462.5973751,442.7339086,446.9095442,444.9532918,102.7412531,100.1196211,96.32146489,95.55006513
mz2,nanu,n,a,H,n,u,L,6,1,1.538830014,2.717691429,1.938617434,5.218670116,0.01336,0.00162,0.00274,0.00273,0.08985,0.04017,0.04505,0.0674,14.13482375,17.61759201,17.60700235,16.01977084,68.64299669,69.98330621,68.29059899,65.20050817,736.9144441,820.5622221,770.0269311,738.496959,155.8573245,158.355686,158.0494604,158.3601225,11.63900125,18.75642591,16.55218934,5.341553111,0.01721,0.03509,NA,NA,0.03946,NA,NA,NA,8.575981997,6.299557689,1.658242338,NA,65.31824362,63.84530799,58.42575371,48.43802357,573.7833967,572.7667375,439.9805792,413.1934002,145.1097706,132.6684059,114.2802193,99.00722829
mz2,nuni,n,u,L,n,i,H,7,1,7.0203786,3.520151622,0.127805857,-4.28333596,NA,NA,NA,0.05785,NA,NA,NA,0.2665,-4.932873044,-9.129509348,-5.320907233,-1.62237022,53.80279752,51.7205672,50.61249248,49.7340395,596.7144083,585.7382487,510.3417151,520.617285,110.9269402,109.1885193,107.4530971,103.6372544,3.00085024,11.57359812,9.771051579,16.45577924,NA,0.03336,0.02313,0.0217,NA,0.13222,0.14029,0.09338,3.40674073,6.779771661,9.811318837,11.36037657,57.158415,57.03039061,57.49775019,54.17947143,501.1107715,411.0146159,357.7341807,272.2117182,106.1234631,126.2991482,154.0214931,181.6352161
mz2,nani,n,a,L,n,i,M,8,1,-2.635839864,-2.04968324,-0.225265205,-6.481526795,NA,NA,NA,NA,NA,NA,NA,NA,-3.42209137,-3.61950691,-4.436616719,-0.832061974,59.15325454,57.90921147,55.40176278,53.03589778,797.1644698,804.6698115,719.9024543,640.7251659,105.1050987,101.091125,97.97765768,95.89725352,13.98931544,13.83716154,14.44297158,15.22538893,0.00602,0.00236,0.00607,0.00631,0.04388,0.04002,0.02058,0.07653,19.02620756,23.26698583,17.56873543,16.19966005,58.46230701,57.50766824,56.0961907,54.28854357,362.0704493,363.819373,358.5660512,373.7191095,124.6256585,125.3531468,124.9533875,123.3820408
mz2,nuna,n,u,H,n,a,L,9,1,6.009977519,-0.570624887,-3.486419284,-3.831824404,NA,NA,NA,NA,NA,NA,NA,NA,-0.493101206,-6.119091105,-3.935878642,-2.440273807,51.44566525,50.71081802,50.40153191,50.03878431,583.7820744,579.7013006,640.606674,673.2593196,108.8981671,105.3583217,100.8384349,97.39761549,2.871403553,7.401623536,6.938979946,19.97722851,NA,0.02467,0.01879,0.01839,NA,0.12117,0.08176,0.11574,-4.637496557,0.159475321,4.348728012,7.679684224,56.47530359,57.92751047,58.81159129,55.54023234,789.6325382,797.7116027,728.6758065,883.6895525,110.8201507,125.5054864,146.0622729,170.9219405
mz2,nanu,n,a,M,n,u,H,10,1,3.243208689,2.988909931,3.66294914,5.535166244,0.00597,0.00115,0.00559,0.0067,0.25285,0.04501,0.05758,0.08697,11.6526948,16.93302647,14.12426839,15.24046322,64.70460722,65.68316131,65.26447925,62.09590548,666.111372,680.2330148,682.2502597,663.8539744,138.1023141,139.9105432,138.3728477,134.9232343,11.71977062,7.56271377,9.191306281,9.600712585,0.00533,0.00269,0.00187,0.018,0.12654,0.09443,0.08237,0.05298,19.57491221,21.69177506,22.37888748,17.15206735,61.72482732,61.17056912,59.59303748,56.73406094,470.0066414,530.4125718,592.7306075,675.2718202,151.6103838,154.0601819,153.4281849,148.7616933
